MIMATID	name	DCIS-normal	invasive-DCIS	Normallike-DCIS	LumA-DCIS	LumB-DCIS	Her2-DCIS	Basallike-DCIS	HER2neg_ERneg_PGRneg-DCIS	HER2neg_ERpos-DCIS	HER2pos_ERneg-DCIS	HER2pos_ERpos-DCIS
MIMAT0000227	hsa-miR-197	DOWN										
MIMAT0000271	hsa-miR-214	DOWN										
MIMAT0004683	hsa-miR-362-3p	UP										
MIMAT0002809	hsa-miR-146b-5p	UP										
MIMAT0003322	hsa-miR-652	DOWN										
MIMAT0000423	hsa-miR-125b	DOWN				DOWN						
MIMAT0000733	hsa-miR-379	DOWN										
MIMAT0000418	hsa-miR-23b	DOWN										
MIMAT0004780	hsa-miR-532-3p	UP										
MIMAT0003237	hsa-miR-572											
MIMAT0000765	hsa-miR-335											
MIMAT0000436	hsa-miR-144						DOWN					
MIMAT0000086	hsa-miR-29a											
MIMAT0000088	hsa-miR-30a*				UP		DOWN				DOWN	
MIMAT0000461	hsa-miR-195											
MIMAT0000510	hsa-miR-320a											
MIMAT0000688	hsa-miR-301a											
MIMAT0004761	hsa-miR-483-5p											
MIMAT0004955	hsa-miR-374b											
MIMAT0000092	hsa-miR-92a											
MIMAT0000459	hsa-miR-193a-3p											
MIMAT0005865	hsa-miR-1202											
MIMAT0003885	hsa-miR-454											
MIMAT0000073	hsa-miR-19a											
MIMAT0000425	hsa-miR-130a											
MIMAT0002173	hsa-miR-483-3p											
MIMAT0000222	hsa-miR-192											
MIMAT0000101	hsa-miR-103											
MIMAT0000710	hsa-miR-365											
MIMAT0000431	hsa-miR-140-5p											
MIMAT0000252	hsa-miR-7											
MIMAT0000445	hsa-miR-126											
MIMAT0000720	hsa-miR-376c											
MIMAT0001618	hsa-miR-191*											
MIMAT0004558	hsa-miR-181a-2*											
MIMAT0004673	hsa-miR-29c*				UP	UP		DOWN				
MIMAT0001412	hsa-miR-18b											
MIMAT0000452	hsa-miR-154											
MIMAT0003221	hsa-miR-557											
MIMAT0001080	hsa-miR-196b											
MIMAT0000254	hsa-miR-10b											
MIMAT0002821	hsa-miR-181d											
MIMAT0000072	hsa-miR-18a							UP				
MIMAT0000278	hsa-miR-221						DOWN				DOWN	
MIMAT0000703	hsa-miR-361-5p											
MIMAT0000226	hsa-miR-196a											
MIMAT0000245	hsa-miR-30d											
MIMAT0000687	hsa-miR-299-3p											
MIMAT0000729	hsa-miR-376a					DOWN						
MIMAT0000280	hsa-miR-223					DOWN						
MIMAT0000081	hsa-miR-25											
MIMAT0004784	hsa-miR-455-3p											
MIMAT0000455	hsa-miR-185			DOWN	DOWN							
MIMAT0000084	hsa-miR-27a											
MIMAT0000451	hsa-miR-150					DOWN						
MIMAT0004484	hsa-let-7d*											
MIMAT0000087	hsa-miR-30a										DOWN	
MIMAT0000089	hsa-miR-31					DOWN						
MIMAT0002876	hsa-miR-505					DOWN						
MIMAT0000094	hsa-miR-95											
MIMAT0000762	hsa-miR-324-3p											
MIMAT0000685	hsa-miR-34b*											
MIMAT0004605	hsa-miR-129-3p											
MIMAT0002874	hsa-miR-503											
MIMAT0003294	hsa-miR-625											
MIMAT0003150	hsa-miR-455-5p											
MIMAT0002813	hsa-miR-493*											
MIMAT0004674	hsa-miR-30c-1*											
MIMAT0000727	hsa-miR-374a											
MIMAT0000446	hsa-miR-127-3p											
MI0000433_MIMAT0000414	hsa-let-7g											
MIMAT0004945	hsa-miR-744											
MIMAT0001341	hsa-miR-424											
MIMAT0002871	hsa-miR-500a*											
MIMAT0005796	hsa-miR-1271											
MIMAT0001413	hsa-miR-20b											
MIMAT0003338	hsa-miR-660											
MIMAT0003888	hsa-miR-766											
MIMAT0004568	hsa-miR-221*											
MIMAT0000082	hsa-miR-26a											
MIMAT0000244	hsa-miR-30c										DOWN	
MIMAT0000069	hsa-miR-16											
MIMAT0004689	hsa-miR-377*											
MIMAT0000100	hsa-miR-29b											
MIMAT0000255	hsa-miR-34a											
MIMAT0004606	hsa-miR-136*											
MIMAT0003945	hsa-miR-765											
MIMAT0000687_MIMAT0002890	hsa-miR-299-5p											
MIMAT0003228	hsa-miR-564											
MIMAT0003326	hsa-miR-663										UP	
MIMAT0002805	hsa-miR-489											
MIMAT0005949	hsa-miR-664											
MIMAT0000730	hsa-miR-377					DOWN						
MIMAT0003299	hsa-miR-630											
MIMAT0004504	hsa-miR-31*					DOWN						
MIMAT0004600	hsa-miR-144*											
MIMAT0004695	hsa-miR-337-5p											
MIMAT0003258	hsa-miR-590-5p											
MIMAT0004982	hsa-miR-939											
MIMAT0000460	hsa-miR-194											
MIMAT0000083	hsa-miR-26b											
MIMAT0004774	hsa-miR-501-3p											
MIMAT0003239	hsa-miR-574-3p											
MIMAT0000096	hsa-miR-98											
MIMAT0005593	hsa-miR-1238											
MIMAT0004814	hsa-miR-654-3p											
MIMAT0000075	hsa-miR-20a											
MIMAT0000104	hsa-miR-107											
MIMAT0000080	hsa-miR-24											
MIMAT0000253	hsa-miR-10a											
MIMAT0000420	hsa-miR-30b											
MIMAT0002888	hsa-miR-532-5p											
MIMAT0000457	hsa-miR-188-5p											
MIMAT0002171	hsa-miR-410											
MIMAT0004493	hsa-miR-20a*											
MIMAT0000426	hsa-miR-132											
MIMAT0005948	hsa-miR-664*											
MIMAT0000275	hsa-miR-218											
MIMAT0000067	hsa-let-7f											
MIMAT0001627	hsa-miR-433					DOWN						
MIMAT0000078	hsa-miR-23a											
MIMAT0000263	hsa-miR-199b-5p											
MIMAT0000689	hsa-miR-99b											
MIMAT0005939	hsa-miR-1281											
MIMAT0003330	hsa-miR-654-5p											
MIMAT0003329	hsa-miR-411											
MIMAT0004589	hsa-miR-30b*											
MIMAT0000755	hsa-miR-323-3p											
MIMAT0002175	hsa-miR-485-5p											
MIMAT0005929	hsa-miR-1275											
MIMAT0004911	hsa-miR-874											
MIMAT0004550	hsa-miR-30c-2*						DOWN				DOWN	
MIMAT0004951	hsa-miR-887							DOWN	DOWN			
MIMAT0003886	hsa-miR-769-5p											
MIMAT0004514	hsa-miR-29b-1*											
MIMAT0000256	hsa-miR-181a											
MIMAT0000419	hsa-miR-27b											
MIMAT0003389	hsa-miR-542-3p											
MIMAT0000737	hsa-miR-382											
MIMAT0000705	hsa-miR-362-5p				DOWN							
MIMAT0002817	hsa-miR-495											
MIMAT0004762	hsa-miR-486-3p											
MIMAT0000456	hsa-miR-186											
MIMAT0003180	hsa-miR-487b											
MIMAT0004775	hsa-miR-502-3p											
MIMAT0003163	hsa-miR-539											
MIMAT0000099	hsa-miR-101											
MIMAT0000443	hsa-miR-125a-5p											
MIMAT0000085	hsa-miR-28-5p											
MIMAT0004697	hsa-miR-151-5p											
MIMAT0003340	hsa-miR-542-5p											
MIMAT0000416	hsa-miR-1											
MIMAT0004587	hsa-miR-23b*											
MIMAT0000442	hsa-miR-9*											
MIMAT0004748	hsa-miR-423-5p											
MIMAT0000693	hsa-miR-30e*										DOWN	
MIMAT0000707	hsa-miR-363											
MIMAT0001638	hsa-miR-409-5p											
MI0000065_MIMAT0000065	hsa-let-7d											
MIMAT0000258	hsa-miR-181c											
MIMAT0000450	hsa-miR-149					UP						
MIMAT0000770	hsa-miR-133b											
MIMAT0003879	hsa-miR-758											
MIMAT0004595	hsa-miR-135a*											
MIMAT0004602	hsa-miR-125a-3p											
MIMAT0000269	hsa-miR-212											
MI0000066_MIMAT0000066	hsa-let-7e											
MIMAT0001639	hsa-miR-409-3p											
MI0000434_MIMAT0000415	hsa-let-7i											
MIMAT0000266	hsa-miR-205											
MIMAT0000757	hsa-miR-151-3p											
MIMAT0000756	hsa-miR-326											
MIMAT0004954	hsa-miR-543											
MIMAT0000231	hsa-miR-199a-5p											
MIMAT0000417	hsa-miR-15b					UP						
MIMAT0002176	hsa-miR-485-3p											
MIMAT0000681	hsa-miR-29c							DOWN				
MIMAT0000062	hsa-let-7a											
MIMAT0000686	hsa-miR-34c-5p											
MIMAT0000232	hsa-miR-199a-3p											
MIMAT0004610	hsa-miR-150*											
MIMAT0000068	hsa-miR-15a											
MIMAT0000438	hsa-miR-152											
MIMAT0000692	hsa-miR-30e											
MIMAT0003240	hsa-miR-575											
MIMAT0003266	hsa-miR-598											
MIMAT0004776	hsa-miR-505*											
MIMAT0000279	hsa-miR-222											
MIMAT0000761	hsa-miR-324-5p											
MIMAT0000763	hsa-miR-338-3p											
MIMAT0004594	hsa-miR-132*											
MIMAT0002814	hsa-miR-432											
